number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,"{'lat': 46.553109, 'lng': 15.624098}",False,False,20,17,3,OPEN,1711224626000,5.5,81,2.5,2.2,100,2.8,977.8
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,"{'lat': 46.553109, 'lng': 15.624098}",False,False,20,17,3,OPEN,1711228257000,5.6,79,2.3,3.1,100,0.0,977.1
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,"{'lat': 46.553109, 'lng': 15.624098}",False,False,20,17,3,OPEN,1711231888000,5.6,82,2.7,3.0,100,0.0,977.7
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,"{'lat': 46.553109, 'lng': 15.624098}",False,False,20,16,4,OPEN,1711242783000,4.4,89,2.7,2.2,95,0.0,976.8
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,"{'lat': 46.553109, 'lng': 15.624098}",False,False,20,16,4,OPEN,1711247019000,3.8,88,2.0,1.7,94,0.0,976.4
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,"{'lat': 46.553109, 'lng': 15.624098}",False,False,20,16,4,OPEN,1711249857000,3.5,93,2.5,1.4,80,0.0,976.5
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,"{'lat': 46.553109, 'lng': 15.624098}",False,False,20,16,4,OPEN,1711253490000,3.7,88,1.9,1.7,66,0.0,975.4
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,"{'lat': 46.553109, 'lng': 15.624098}",False,False,20,15,5,OPEN,1711257122000,4.1,88,2.3,2.1,52,0.0,976.5
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,"{'lat': 46.553109, 'lng': 15.624098}",False,False,20,15,5,OPEN,1711260752000,5.7,80,2.5,3.6,51,0.0,976.3
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,"{'lat': 46.553109, 'lng': 15.624098}",False,False,20,16,4,OPEN,1711264384000,8.1,69,2.8,6.3,26,0.0,976.2
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,"{'lat': 46.553109, 'lng': 15.624098}",False,False,20,18,2,OPEN,1711268131000,9.4,58,1.6,7.2,0,0.0,976.3
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,"{'lat': 46.553109, 'lng': 15.624098}",False,False,20,18,2,OPEN,1711271647000,10.9,52,1.4,8.9,0,0.0,975.3
