number,contract_name,name,address,lat,lng,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,46.54199,15.63831,False,False,20,12,8,OPEN,1710182688000
10,maribor,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,46.557328,15.646833,False,False,20,5,15,OPEN,1710182358000
9,maribor,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,46.558519,15.649072,False,False,20,1,19,OPEN,1710182389000
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,46.561555,15.65692,False,False,20,13,7,OPEN,1710182392000
20,maribor,EUROPARK - POBREŠKA C.,Pobreška cesta 18,46.554703,15.652826,False,False,21,13,8,OPEN,1710182386000
4,maribor,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,46.558498,15.64146,False,False,20,16,4,OPEN,1710182623000
1,maribor,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,46.562695,15.62935,False,False,22,13,9,OPEN,1710182450000
16,maribor,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,46.559319,15.63498,False,False,20,7,13,OPEN,1710182261000
3,maribor,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,46.560761,15.64053,False,False,20,20,0,OPEN,1710182534000
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,46.550683,15.639333,False,False,20,4,16,OPEN,1710182383000
6,maribor,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,46.558924,15.644443,False,False,20,3,17,OPEN,1710182398000
22,maribor,DVORANA TABOR,Gorkega ulica 48,46.549005,15.635014,False,False,20,8,12,OPEN,1710182386000
14,maribor,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,46.552652,15.646023,False,False,20,5,15,OPEN,1710182395000
19,maribor,LIDL - TITOVA C.,Titova cesta 15,46.551963,15.651564,False,False,20,8,12,OPEN,1710182333000
25,maribor,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,46.542655,15.634329,False,False,20,11,9,OPEN,1710182481000
17,maribor,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,46.553109,15.624098,False,False,20,10,10,OPEN,1710182208000
28,maribor,UM FGPA - LENT - SODNI STOLP,Pristan 6,46.556731,15.64212,False,False,20,10,10,OPEN,1710182495000
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,46.56196,15.650235,False,False,20,8,12,OPEN,1710182753000
7,maribor,PARTIZANSKA C. - TIC,Partizanska cesta 6a,46.560227,15.650781,False,False,20,20,0,OPEN,1710182703000
2,maribor,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,46.561422,15.637118,False,False,22,5,17,OPEN,1710182315000
5,maribor,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,46.56294,15.644185,False,False,16,14,2,OPEN,1710182415000
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,46.558534,15.654739,False,False,20,14,6,OPEN,1710182393000
15,maribor,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,46.548853,15.645591,False,False,20,17,3,OPEN,1710182413000
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,46.543986,15.629317,False,False,20,17,3,OPEN,1710182255000
23,maribor,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,46.545947,15.644015,False,False,20,14,6,OPEN,1710182684000
27,maribor,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,46.554741,15.659814,False,False,20,9,11,OPEN,1710182552000
18,maribor,LIDL - KOROŠKA C.,Koroška cesta 173,46.565603,15.623133,False,False,20,10,10,OPEN,1710182395000
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,46.56056,15.652935,False,False,20,16,4,OPEN,1710182437000
