latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation,hourly_units,hourly
46.54,15.639999,0.1119375228881836,0,GMT,GMT,284.0,"{'time': 'iso8601', 'temperature_2m': '°C', 'relative_humidity_2m': '%', 'dew_point_2m': '°C', 'apparent_temperature': '°C', 'precipitation_probability': '%', 'rain': 'mm', 'surface_pressure': 'hPa'}","{'time': ['2024-03-23T00:00', '2024-03-23T01:00', '2024-03-23T02:00', '2024-03-23T03:00', '2024-03-23T04:00', '2024-03-23T05:00', '2024-03-23T06:00', '2024-03-23T07:00', '2024-03-23T08:00', '2024-03-23T09:00', '2024-03-23T10:00', '2024-03-23T11:00', '2024-03-23T12:00', '2024-03-23T13:00', '2024-03-23T14:00', '2024-03-23T15:00', '2024-03-23T16:00', '2024-03-23T17:00', '2024-03-23T18:00', '2024-03-23T19:00', '2024-03-23T20:00', '2024-03-23T21:00', '2024-03-23T22:00', '2024-03-23T23:00'], 'temperature_2m': [8.9, 7.0, 5.9, 5.2, 6.0, 4.8, 4.8, 7.1, 11.1, 14.8, 18.1, 20.1, 20.1, 20.0, 19.5, 18.7, 17.5, 16.4, 8.4, 7.0, 5.8, 5.3, 5.4, 4.7], 'relative_humidity_2m': [69, 83, 93, 96, 90, 100, 99, 90, 68, 59, 46, 43, 39, 32, 32, 36, 43, 42, 68, 76, 80, 80, 82, 82], 'dew_point_2m': [3.5, 4.3, 4.8, 4.6, 4.5, 4.8, 4.7, 5.6, 5.4, 6.9, 6.3, 7.1, 5.7, 2.8, 2.3, 3.3, 4.8, 3.4, 2.8, 3.0, 2.6, 2.2, 2.6, 1.9], 'apparent_temperature': [7.2, 5.5, 4.4, 3.6, 4.5, 3.2, 3.4, 5.8, 9.6, 13.8, 17.0, 17.9, 16.7, 15.8, 14.9, 14.5, 13.3, 13.2, 3.6, 2.8, 2.0, 2.2, 3.5, 2.2], 'precipitation_probability': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 47, 71, 81, 90, 100, 100, 100], 'rain': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 2.5, 6.6, 2.7, 1.9, 2.2], 'surface_pressure': [980.2, 979.4, 978.7, 977.5, 977.2, 976.9, 976.8, 976.4, 975.9, 975.4, 974.6, 973.6, 972.9, 972.1, 971.7, 971.0, 971.1, 971.9, 975.0, 976.1, 976.5, 977.0, 977.1, 977.1]}"
46.56,15.639999,0.07200241088867188,0,GMT,GMT,270.0,1,"{'time': 'iso8601', 'temperature_2m': '°C', 'relative_humidity_2m': '%', 'dew_point_2m': '°C', 'apparent_temperature': '°C', 'precipitation_probability': '%', 'rain': 'mm', 'surface_pressure': 'hPa'}","{'time': ['2024-03-23T00:00', '2024-03-23T01:00', '2024-03-23T02:00', '2024-03-23T03:00', '2024-03-23T04:00', '2024-03-23T05:00', '2024-03-23T06:00', '2024-03-23T07:00', '2024-03-23T08:00', '2024-03-23T09:00', '2024-03-23T10:00', '2024-03-23T11:00', '2024-03-23T12:00', '2024-03-23T13:00', '2024-03-23T14:00', '2024-03-23T15:00', '2024-03-23T16:00', '2024-03-23T17:00', '2024-03-23T18:00', '2024-03-23T19:00', '2024-03-23T20:00', '2024-03-23T21:00', '2024-03-23T22:00', '2024-03-23T23:00'], 'temperature_2m': [8.0, 7.6, 6.8, 6.1, 6.8, 6.9, 6.3, 8.0, 11.0, 14.9, 18.4, 19.8, 20.7, 20.4, 19.7, 19.0, 18.0, 14.8, 8.2, 7.1, 6.3, 5.5, 5.8, 4.9], 'relative_humidity_2m': [70, 76, 84, 92, 89, 85, 91, 85, 68, 56, 44, 43, 36, 34, 35, 36, 42, 45, 69, 76, 78, 81, 81, 82], 'dew_point_2m': [2.8, 3.7, 4.3, 4.9, 5.1, 4.6, 4.9, 5.6, 5.3, 6.2, 5.9, 6.9, 5.1, 4.0, 3.8, 3.6, 4.9, 2.9, 2.8, 3.1, 2.8, 2.5, 2.8, 2.1], 'apparent_temperature': [6.3, 6.0, 5.0, 4.5, 5.4, 5.1, 4.8, 6.6, 9.4, 13.6, 17.5, 19.0, 18.0, 17.0, 15.7, 15.8, 15.2, 9.5, 2.8, 3.2, 3.1, 2.8, 3.8, 2.2], 'precipitation_probability': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 47, 71, 81, 90, 100, 100, 100], 'rain': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.6, 6.6, 2.1, 1.8, 1.9], 'surface_pressure': [981.9, 981.1, 980.5, 979.3, 978.9, 978.7, 978.6, 978.2, 977.6, 977.0, 976.2, 975.1, 974.3, 973.6, 973.2, 972.7, 973.0, 974.1, 976.6, 977.9, 978.3, 978.8, 978.7, 978.8]}"
46.56,15.639999,0.08606910705566406,0,GMT,GMT,275.0,2,"{'time': 'iso8601', 'temperature_2m': '°C', 'relative_humidity_2m': '%', 'dew_point_2m': '°C', 'apparent_temperature': '°C', 'precipitation_probability': '%', 'rain': 'mm', 'surface_pressure': 'hPa'}","{'time': ['2024-03-23T00:00', '2024-03-23T01:00', '2024-03-23T02:00', '2024-03-23T03:00', '2024-03-23T04:00', '2024-03-23T05:00', '2024-03-23T06:00', '2024-03-23T07:00', '2024-03-23T08:00', '2024-03-23T09:00', '2024-03-23T10:00', '2024-03-23T11:00', '2024-03-23T12:00', '2024-03-23T13:00', '2024-03-23T14:00', '2024-03-23T15:00', '2024-03-23T16:00', '2024-03-23T17:00', '2024-03-23T18:00', '2024-03-23T19:00', '2024-03-23T20:00', '2024-03-23T21:00', '2024-03-23T22:00', '2024-03-23T23:00'], 'temperature_2m': [7.9, 7.6, 6.8, 6.0, 6.7, 6.9, 6.2, 7.9, 11.0, 14.8, 18.3, 19.8, 20.7, 20.4, 19.6, 19.0, 17.9, 14.7, 8.1, 7.0, 6.3, 5.4, 5.7, 4.9], 'relative_humidity_2m': [70, 76, 84, 92, 89, 85, 91, 85, 68, 56, 44, 43, 36, 34, 35, 36, 42, 45, 69, 76, 78, 81, 81, 82], 'dew_point_2m': [2.8, 3.6, 4.3, 4.8, 5.0, 4.5, 4.9, 5.6, 5.3, 6.1, 5.9, 6.8, 5.1, 4.0, 3.7, 3.6, 4.8, 2.9, 2.8, 3.1, 2.7, 2.4, 2.7, 2.1], 'apparent_temperature': [6.3, 5.9, 4.9, 4.5, 5.4, 5.0, 4.8, 6.5, 9.4, 13.5, 17.4, 19.0, 17.9, 16.9, 15.7, 15.7, 15.1, 9.5, 2.8, 3.2, 3.1, 2.8, 3.8, 2.2], 'precipitation_probability': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 47, 71, 81, 90, 100, 100, 100], 'rain': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.6, 6.6, 2.1, 1.8, 1.9], 'surface_pressure': [981.3, 980.5, 979.9, 978.7, 978.3, 978.1, 978.0, 977.6, 977.1, 976.4, 975.6, 974.5, 973.8, 973.1, 972.7, 972.1, 972.4, 973.5, 976.1, 977.3, 977.7, 978.2, 978.1, 978.2]}"
46.56,15.66,0.0699758529663086,0,GMT,GMT,269.0,3,"{'time': 'iso8601', 'temperature_2m': '°C', 'relative_humidity_2m': '%', 'dew_point_2m': '°C', 'apparent_temperature': '°C', 'precipitation_probability': '%', 'rain': 'mm', 'surface_pressure': 'hPa'}","{'time': ['2024-03-23T00:00', '2024-03-23T01:00', '2024-03-23T02:00', '2024-03-23T03:00', '2024-03-23T04:00', '2024-03-23T05:00', '2024-03-23T06:00', '2024-03-23T07:00', '2024-03-23T08:00', '2024-03-23T09:00', '2024-03-23T10:00', '2024-03-23T11:00', '2024-03-23T12:00', '2024-03-23T13:00', '2024-03-23T14:00', '2024-03-23T15:00', '2024-03-23T16:00', '2024-03-23T17:00', '2024-03-23T18:00', '2024-03-23T19:00', '2024-03-23T20:00', '2024-03-23T21:00', '2024-03-23T22:00', '2024-03-23T23:00'], 'temperature_2m': [7.7, 7.0, 6.7, 6.0, 6.3, 6.0, 5.2, 7.2, 11.2, 15.5, 18.3, 19.8, 20.4, 20.1, 19.5, 18.8, 17.7, 15.3, 8.0, 7.0, 6.4, 5.9, 5.5, 4.8], 'relative_humidity_2m': [81, 84, 86, 90, 89, 90, 97, 89, 72, 61, 46, 44, 39, 33, 34, 36, 43, 45, 70, 77, 79, 84, 83, 83], 'dew_point_2m': [4.6, 4.4, 4.5, 4.5, 4.6, 4.5, 4.7, 5.5, 6.3, 8.0, 6.5, 7.2, 5.9, 3.3, 3.2, 3.4, 4.9, 3.4, 2.9, 3.2, 3.0, 3.4, 2.8, 2.1], 'apparent_temperature': [6.1, 5.5, 5.1, 4.5, 4.8, 4.5, 3.7, 5.9, 9.9, 14.7, 17.0, 17.9, 17.3, 16.1, 15.0, 15.1, 14.4, 10.6, 2.2, 2.8, 2.9, 3.5, 2.8, 2.1], 'precipitation_probability': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 47, 71, 81, 90, 100, 100, 100], 'rain': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 2.3, 7.1, 2.4, 1.7, 1.9], 'surface_pressure': [981.9, 981.3, 980.6, 979.4, 979.0, 978.8, 978.6, 978.3, 977.8, 977.1, 976.2, 975.2, 974.5, 973.7, 973.3, 972.8, 973.1, 974.1, 976.7, 977.9, 978.3, 978.9, 978.8, 978.9]}"
46.56,15.66,0.09298324584960938,0,GMT,GMT,258.0,4,"{'time': 'iso8601', 'temperature_2m': '°C', 'relative_humidity_2m': '%', 'dew_point_2m': '°C', 'apparent_temperature': '°C', 'precipitation_probability': '%', 'rain': 'mm', 'surface_pressure': 'hPa'}","{'time': ['2024-03-23T00:00', '2024-03-23T01:00', '2024-03-23T02:00', '2024-03-23T03:00', '2024-03-23T04:00', '2024-03-23T05:00', '2024-03-23T06:00', '2024-03-23T07:00', '2024-03-23T08:00', '2024-03-23T09:00', '2024-03-23T10:00', '2024-03-23T11:00', '2024-03-23T12:00', '2024-03-23T13:00', '2024-03-23T14:00', '2024-03-23T15:00', '2024-03-23T16:00', '2024-03-23T17:00', '2024-03-23T18:00', '2024-03-23T19:00', '2024-03-23T20:00', '2024-03-23T21:00', '2024-03-23T22:00', '2024-03-23T23:00'], 'temperature_2m': [7.7, 7.0, 6.8, 6.1, 6.3, 6.1, 5.2, 7.2, 11.3, 15.5, 18.4, 19.9, 20.4, 20.2, 19.6, 18.8, 17.7, 15.4, 8.1, 7.1, 6.4, 5.9, 5.6, 4.8], 'relative_humidity_2m': [81, 84, 86, 90, 89, 90, 97, 89, 72, 61, 46, 44, 39, 33, 34, 36, 43, 45, 70, 77, 79, 84, 83, 83], 'dew_point_2m': [4.7, 4.5, 4.6, 4.6, 4.6, 4.6, 4.8, 5.5, 6.4, 8.0, 6.5, 7.3, 6.0, 3.4, 3.3, 3.4, 5.0, 3.5, 2.9, 3.3, 3.0, 3.4, 2.9, 2.2], 'apparent_temperature': [6.2, 5.6, 5.2, 4.5, 4.9, 4.6, 3.8, 6.0, 10.0, 14.7, 17.1, 18.0, 17.4, 16.2, 15.1, 15.1, 14.5, 10.6, 2.3, 2.9, 3.0, 3.6, 2.9, 2.2], 'precipitation_probability': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 47, 71, 81, 90, 100, 100, 100], 'rain': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 2.3, 7.1, 2.4, 1.7, 1.9], 'surface_pressure': [983.3, 982.6, 981.9, 980.7, 980.3, 980.2, 980.0, 979.6, 979.1, 978.4, 977.5, 976.5, 975.7, 974.9, 974.6, 974.0, 974.3, 975.3, 978.1, 979.2, 979.6, 980.2, 980.1, 980.2]}"
46.56,15.639999,0.06508827209472656,0,GMT,GMT,272.0,5,"{'time': 'iso8601', 'temperature_2m': '°C', 'relative_humidity_2m': '%', 'dew_point_2m': '°C', 'apparent_temperature': '°C', 'precipitation_probability': '%', 'rain': 'mm', 'surface_pressure': 'hPa'}","{'time': ['2024-03-23T00:00', '2024-03-23T01:00', '2024-03-23T02:00', '2024-03-23T03:00', '2024-03-23T04:00', '2024-03-23T05:00', '2024-03-23T06:00', '2024-03-23T07:00', '2024-03-23T08:00', '2024-03-23T09:00', '2024-03-23T10:00', '2024-03-23T11:00', '2024-03-23T12:00', '2024-03-23T13:00', '2024-03-23T14:00', '2024-03-23T15:00', '2024-03-23T16:00', '2024-03-23T17:00', '2024-03-23T18:00', '2024-03-23T19:00', '2024-03-23T20:00', '2024-03-23T21:00', '2024-03-23T22:00', '2024-03-23T23:00'], 'temperature_2m': [7.9, 7.6, 6.8, 6.1, 6.8, 6.9, 6.2, 7.9, 11.0, 14.9, 18.4, 19.8, 20.7, 20.4, 19.6, 19.0, 18.0, 14.8, 8.1, 7.1, 6.3, 5.4, 5.8, 4.9], 'relative_humidity_2m': [70, 76, 84, 92, 89, 85, 91, 85, 68, 56, 44, 43, 36, 34, 35, 36, 42, 45, 69, 76, 78, 81, 81, 82], 'dew_point_2m': [2.8, 3.6, 4.3, 4.8, 5.1, 4.6, 4.9, 5.6, 5.3, 6.2, 5.9, 6.9, 5.1, 4.0, 3.8, 3.6, 4.8, 2.9, 2.8, 3.1, 2.7, 2.4, 2.7, 2.1], 'apparent_temperature': [6.3, 5.9, 5.0, 4.5, 5.4, 5.1, 4.8, 6.5, 9.4, 13.6, 17.5, 19.0, 18.0, 16.9, 15.7, 15.8, 15.1, 9.5, 2.8, 3.2, 3.1, 2.8, 3.8, 2.2], 'precipitation_probability': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 47, 71, 81, 90, 100, 100, 100], 'rain': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.6, 6.6, 2.1, 1.8, 1.9], 'surface_pressure': [981.6, 980.9, 980.2, 979.1, 978.7, 978.5, 978.3, 977.9, 977.4, 976.8, 976.0, 974.9, 974.1, 973.4, 973.0, 972.5, 972.7, 973.9, 976.4, 977.6, 978.0, 978.5, 978.5, 978.6]}"
46.56,15.619999,0.08797645568847656,0,GMT,GMT,279.0,6,"{'time': 'iso8601', 'temperature_2m': '°C', 'relative_humidity_2m': '%', 'dew_point_2m': '°C', 'apparent_temperature': '°C', 'precipitation_probability': '%', 'rain': 'mm', 'surface_pressure': 'hPa'}","{'time': ['2024-03-23T00:00', '2024-03-23T01:00', '2024-03-23T02:00', '2024-03-23T03:00', '2024-03-23T04:00', '2024-03-23T05:00', '2024-03-23T06:00', '2024-03-23T07:00', '2024-03-23T08:00', '2024-03-23T09:00', '2024-03-23T10:00', '2024-03-23T11:00', '2024-03-23T12:00', '2024-03-23T13:00', '2024-03-23T14:00', '2024-03-23T15:00', '2024-03-23T16:00', '2024-03-23T17:00', '2024-03-23T18:00', '2024-03-23T19:00', '2024-03-23T20:00', '2024-03-23T21:00', '2024-03-23T22:00', '2024-03-23T23:00'], 'temperature_2m': [7.9, 7.8, 7.2, 6.3, 5.1, 5.8, 5.4, 7.6, 11.5, 15.1, 18.3, 20.1, 20.5, 20.1, 19.5, 18.7, 17.5, 15.4, 8.2, 7.0, 5.9, 5.3, 5.4, 4.8], 'relative_humidity_2m': [71, 71, 75, 81, 93, 89, 95, 89, 69, 55, 47, 41, 39, 36, 37, 38, 44, 43, 69, 76, 80, 81, 86, 83], 'dew_point_2m': [3.0, 2.8, 3.1, 3.3, 4.0, 4.1, 4.7, 5.9, 6.0, 6.1, 6.8, 6.5, 6.1, 4.6, 4.4, 4.1, 5.2, 2.9, 2.9, 3.1, 2.8, 2.3, 3.2, 2.2], 'apparent_temperature': [6.1, 6.0, 5.3, 4.3, 3.5, 3.9, 3.9, 6.1, 10.0, 13.8, 17.7, 18.8, 17.8, 16.5, 15.7, 15.5, 14.6, 10.6, 3.8, 3.5, 2.6, 2.2, 3.5, 2.1], 'precipitation_probability': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 47, 71, 81, 90, 100, 100, 100], 'rain': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 1.3, 6.0, 2.1, 1.9, 2.0], 'surface_pressure': [980.7, 980.0, 979.3, 978.2, 977.6, 977.4, 977.4, 977.0, 976.6, 976.0, 975.1, 974.0, 973.3, 972.6, 972.2, 971.5, 971.8, 972.9, 975.6, 976.9, 977.4, 977.6, 977.7, 977.7]}"
46.56,15.639999,0.06592273712158203,0,GMT,GMT,272.0,7,"{'time': 'iso8601', 'temperature_2m': '°C', 'relative_humidity_2m': '%', 'dew_point_2m': '°C', 'apparent_temperature': '°C', 'precipitation_probability': '%', 'rain': 'mm', 'surface_pressure': 'hPa'}","{'time': ['2024-03-23T00:00', '2024-03-23T01:00', '2024-03-23T02:00', '2024-03-23T03:00', '2024-03-23T04:00', '2024-03-23T05:00', '2024-03-23T06:00', '2024-03-23T07:00', '2024-03-23T08:00', '2024-03-23T09:00', '2024-03-23T10:00', '2024-03-23T11:00', '2024-03-23T12:00', '2024-03-23T13:00', '2024-03-23T14:00', '2024-03-23T15:00', '2024-03-23T16:00', '2024-03-23T17:00', '2024-03-23T18:00', '2024-03-23T19:00', '2024-03-23T20:00', '2024-03-23T21:00', '2024-03-23T22:00', '2024-03-23T23:00'], 'temperature_2m': [7.9, 7.6, 6.8, 6.1, 6.8, 6.9, 6.2, 7.9, 11.0, 14.9, 18.4, 19.8, 20.7, 20.4, 19.6, 19.0, 18.0, 14.8, 8.1, 7.1, 6.3, 5.4, 5.8, 4.9], 'relative_humidity_2m': [70, 76, 84, 92, 89, 85, 91, 85, 68, 56, 44, 43, 36, 34, 35, 36, 42, 45, 69, 76, 78, 81, 81, 82], 'dew_point_2m': [2.8, 3.6, 4.3, 4.8, 5.1, 4.6, 4.9, 5.6, 5.3, 6.2, 5.9, 6.9, 5.1, 4.0, 3.8, 3.6, 4.8, 2.9, 2.8, 3.1, 2.7, 2.4, 2.7, 2.1], 'apparent_temperature': [6.3, 5.9, 5.0, 4.5, 5.4, 5.1, 4.8, 6.5, 9.4, 13.6, 17.5, 19.0, 18.0, 16.9, 15.7, 15.8, 15.1, 9.5, 2.8, 3.2, 3.1, 2.8, 3.8, 2.2], 'precipitation_probability': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 47, 71, 81, 90, 100, 100, 100], 'rain': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.6, 6.6, 2.1, 1.8, 1.9], 'surface_pressure': [981.6, 980.9, 980.2, 979.1, 978.7, 978.5, 978.3, 977.9, 977.4, 976.8, 976.0, 974.9, 974.1, 973.4, 973.0, 972.5, 972.7, 973.9, 976.4, 977.6, 978.0, 978.5, 978.5, 978.6]}"
46.56,15.639999,0.051021575927734375,0,GMT,GMT,278.0,8,"{'time': 'iso8601', 'temperature_2m': '°C', 'relative_humidity_2m': '%', 'dew_point_2m': '°C', 'apparent_temperature': '°C', 'precipitation_probability': '%', 'rain': 'mm', 'surface_pressure': 'hPa'}","{'time': ['2024-03-23T00:00', '2024-03-23T01:00', '2024-03-23T02:00', '2024-03-23T03:00', '2024-03-23T04:00', '2024-03-23T05:00', '2024-03-23T06:00', '2024-03-23T07:00', '2024-03-23T08:00', '2024-03-23T09:00', '2024-03-23T10:00', '2024-03-23T11:00', '2024-03-23T12:00', '2024-03-23T13:00', '2024-03-23T14:00', '2024-03-23T15:00', '2024-03-23T16:00', '2024-03-23T17:00', '2024-03-23T18:00', '2024-03-23T19:00', '2024-03-23T20:00', '2024-03-23T21:00', '2024-03-23T22:00', '2024-03-23T23:00'], 'temperature_2m': [7.9, 7.6, 6.8, 6.0, 6.7, 6.9, 6.2, 7.9, 11.0, 14.8, 18.3, 19.8, 20.7, 20.4, 19.6, 19.0, 17.9, 14.7, 8.1, 7.0, 6.3, 5.4, 5.7, 4.9], 'relative_humidity_2m': [70, 76, 84, 92, 89, 85, 91, 85, 68, 56, 44, 43, 36, 34, 35, 36, 42, 45, 69, 76, 78, 81, 81, 82], 'dew_point_2m': [2.8, 3.6, 4.2, 4.8, 5.0, 4.5, 4.9, 5.5, 5.3, 6.1, 5.8, 6.8, 5.1, 4.0, 3.7, 3.6, 4.8, 2.9, 2.8, 3.1, 2.7, 2.4, 2.7, 2.0], 'apparent_temperature': [6.3, 5.9, 4.9, 4.4, 5.3, 5.0, 4.7, 6.5, 9.4, 13.5, 17.4, 19.0, 17.9, 16.9, 15.7, 15.7, 15.1, 9.5, 2.7, 3.2, 3.0, 2.7, 3.8, 2.1], 'precipitation_probability': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 47, 71, 81, 90, 100, 100, 100], 'rain': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.6, 6.6, 2.1, 1.8, 1.9], 'surface_pressure': [980.9, 980.2, 979.5, 978.4, 978.0, 977.8, 977.6, 977.2, 976.7, 976.1, 975.3, 974.2, 973.4, 972.7, 972.3, 971.8, 972.1, 973.2, 975.7, 976.9, 977.3, 977.8, 977.7, 977.8]}"
46.56,15.639999,0.03802776336669922,0,GMT,GMT,279.0,9,"{'time': 'iso8601', 'temperature_2m': '°C', 'relative_humidity_2m': '%', 'dew_point_2m': '°C', 'apparent_temperature': '°C', 'precipitation_probability': '%', 'rain': 'mm', 'surface_pressure': 'hPa'}","{'time': ['2024-03-23T00:00', '2024-03-23T01:00', '2024-03-23T02:00', '2024-03-23T03:00', '2024-03-23T04:00', '2024-03-23T05:00', '2024-03-23T06:00', '2024-03-23T07:00', '2024-03-23T08:00', '2024-03-23T09:00', '2024-03-23T10:00', '2024-03-23T11:00', '2024-03-23T12:00', '2024-03-23T13:00', '2024-03-23T14:00', '2024-03-23T15:00', '2024-03-23T16:00', '2024-03-23T17:00', '2024-03-23T18:00', '2024-03-23T19:00', '2024-03-23T20:00', '2024-03-23T21:00', '2024-03-23T22:00', '2024-03-23T23:00'], 'temperature_2m': [7.9, 7.6, 6.8, 6.0, 6.7, 6.9, 6.2, 7.9, 11.0, 14.8, 18.3, 19.8, 20.7, 20.4, 19.6, 19.0, 17.9, 14.7, 8.1, 7.0, 6.3, 5.4, 5.7, 4.9], 'relative_humidity_2m': [70, 76, 84, 92, 89, 85, 91, 85, 68, 56, 44, 43, 36, 34, 35, 36, 42, 45, 69, 76, 78, 81, 81, 82], 'dew_point_2m': [2.8, 3.6, 4.2, 4.8, 5.0, 4.5, 4.8, 5.5, 5.3, 6.1, 5.8, 6.8, 5.1, 4.0, 3.7, 3.5, 4.8, 2.9, 2.8, 3.1, 2.7, 2.4, 2.7, 2.0], 'apparent_temperature': [6.2, 5.9, 4.9, 4.4, 5.3, 5.0, 4.7, 6.5, 9.4, 13.5, 17.4, 19.0, 17.9, 16.9, 15.7, 15.7, 15.1, 9.5, 2.7, 3.1, 3.0, 2.7, 3.8, 2.1], 'precipitation_probability': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 47, 71, 81, 90, 100, 100, 100], 'rain': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.6, 6.6, 2.1, 1.8, 1.9], 'surface_pressure': [980.8, 980.1, 979.4, 978.2, 977.8, 977.7, 977.5, 977.1, 976.6, 976.0, 975.2, 974.1, 973.3, 972.6, 972.2, 971.7, 971.9, 973.0, 975.6, 976.8, 977.2, 977.7, 977.6, 977.7]}"
46.56,15.639999,0.09000301361083984,0,GMT,GMT,272.0,10,"{'time': 'iso8601', 'temperature_2m': '°C', 'relative_humidity_2m': '%', 'dew_point_2m': '°C', 'apparent_temperature': '°C', 'precipitation_probability': '%', 'rain': 'mm', 'surface_pressure': 'hPa'}","{'time': ['2024-03-23T00:00', '2024-03-23T01:00', '2024-03-23T02:00', '2024-03-23T03:00', '2024-03-23T04:00', '2024-03-23T05:00', '2024-03-23T06:00', '2024-03-23T07:00', '2024-03-23T08:00', '2024-03-23T09:00', '2024-03-23T10:00', '2024-03-23T11:00', '2024-03-23T12:00', '2024-03-23T13:00', '2024-03-23T14:00', '2024-03-23T15:00', '2024-03-23T16:00', '2024-03-23T17:00', '2024-03-23T18:00', '2024-03-23T19:00', '2024-03-23T20:00', '2024-03-23T21:00', '2024-03-23T22:00', '2024-03-23T23:00'], 'temperature_2m': [7.9, 7.6, 6.8, 6.1, 6.8, 6.9, 6.2, 7.9, 11.0, 14.9, 18.4, 19.8, 20.7, 20.4, 19.6, 19.0, 18.0, 14.8, 8.1, 7.1, 6.3, 5.4, 5.8, 4.9], 'relative_humidity_2m': [70, 76, 84, 92, 89, 85, 91, 85, 68, 56, 44, 43, 36, 34, 35, 36, 42, 45, 69, 76, 78, 81, 81, 82], 'dew_point_2m': [2.8, 3.6, 4.3, 4.8, 5.1, 4.6, 4.9, 5.6, 5.3, 6.2, 5.9, 6.9, 5.1, 4.0, 3.8, 3.6, 4.8, 2.9, 2.8, 3.1, 2.7, 2.4, 2.7, 2.1], 'apparent_temperature': [6.3, 5.9, 5.0, 4.5, 5.4, 5.1, 4.8, 6.5, 9.4, 13.6, 17.5, 19.0, 18.0, 16.9, 15.7, 15.8, 15.1, 9.5, 2.8, 3.2, 3.1, 2.8, 3.8, 2.2], 'precipitation_probability': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 47, 71, 81, 90, 100, 100, 100], 'rain': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.6, 6.6, 2.1, 1.8, 1.9], 'surface_pressure': [981.6, 980.9, 980.2, 979.1, 978.7, 978.5, 978.3, 977.9, 977.4, 976.8, 976.0, 974.9, 974.1, 973.4, 973.0, 972.5, 972.7, 973.9, 976.4, 977.6, 978.0, 978.5, 978.5, 978.6]}"
